player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Milton Williams,IDL,Louisiana Tech,286.0,4.63,32.0,35.0,,,,,,,75.0
Jonathan Adams Jr.,WR,Arkansas State,218.0,4.48,,41.5,126.0,4.13,6.9,,,,75.0
Donnie Corley,WR,Texas Southern,195.0,4.39,,35.5,126.0,4.39,6.88,,,,73.0
Scott Meyer,LS,Vanderbilt,237.0,,,,102.0,4.65,7.54,10.0,32.0,78.0,73.125
Cameron Kinley,CB,Navy,197.0,4.52,10.0,33.0,116.0,4.25,7.06,,,,72.625
Jack Heflin,IDL,Iowa,304.0,5.3,25.0,29.0,104.0,4.63,7.61,,,,75.0
Daviyon Nixon,IDL,Iowa,313.0,4.9,,28.5,106.0,4.7,7.68,,,,75.125
Cole Banwart,IOL,Iowa,298.0,5.13,22.0,27.5,105.0,4.72,7.5,,,,75.75
Keith Duncan,K,Iowa,176.0,,,,,,,,,,69.375
Nick Niemann,LB,Iowa,234.0,4.45,19.0,33.5,121.0,4.14,6.67,,,,75.0
Barrington Wade,LB,Iowa,232.0,4.6,19.0,34.5,118.0,4.39,6.94,,,,73.0
Mekhi Sargent,RB,Iowa,208.0,4.62,18.0,33.5,113.0,4.39,7.08,,,,68.375
Shaun Beyer,TE,Iowa,250.0,4.78,22.0,31.5,119.0,4.2,7.0,,,,76.875
Brandon Smith,WR,Iowa,218.0,4.62,21.0,39.5,130.0,,,,,,73.375
Ihmir Smith-Marsette,WR,Iowa,181.0,4.43,10.0,37.0,124.0,4.2,7.0,,,,72.75
Tarron Jackson,EDGE,Coastal Carolina,254.0,4.7,25.0,29.5,118.0,4.36,7.41,,,,74.0
CJ Marable,RB,Coastal Carolina,195.0,4.53,17.0,36.0,116.0,4.34,7.34,,,,66.0
Brian Delaney,K,Virginia,192.0,,,,,,,,,,69.625
Noah Curtis,EDGE,Florida International,256.0,5.11,14.0,28.5,110.0,4.7,7.56,10.0,32.0,78.0,77.25
Cary Angeline,TE,North Carolina State,245.0,4.89,12.0,29.0,109.0,4.59,7.19,10.0,33.0,83.0,78.5
Sammis Reyes,TE,Chile,260.0,4.65,31.0,40.0,125.0,,,,,,77.375
Coby Weiss,K,USF,155.0,,,,,,,,,,68.625
Feleipe Franks,QB,Arkansas,234.0,4.58,,32.5,117.0,4.35,7.22,9.625,34.0,82.0,78.625
Roy Lopez,IDL,Arizona,304.0,5.19,36.0,31.0,105.0,4.51,7.39,9.875,32.0,76.0,73.625
DJ Daniel,CB,Georgia,183.0,4.62,11.0,31.0,119.0,4.12,7.02,9.125,33.0,81.0,71.625
Brady Davis,QB,Illinois State,206.0,4.79,,31.0,114.0,4.46,7.25,10.375,32.0,75.0,74.375
KJ Britt,LB,Auburn,235.0,4.76,24.0,32.5,118.0,4.4,7.38,9.375,31.0,76.0,72.5
Adrian Hardy,WR,Louisiana Tech,205.0,4.61,12.0,37.5,124.0,4.5,6.96,9.375,32.0,77.0,73.0
Calvin Ashley,OT,Florida A&M,314.0,5.49,15.0,29.0,105.0,5.1,7.0,10.5,34.0,83.0,78.125
Zach Davidson,TE,Central Missouri,245.0,4.64,17.0,37.5,117.0,4.26,6.95,9.5,32.0,77.0,78.625
Nate McCrary,RB,Saginaw Valley State,213.0,4.52,19.0,34.0,123.0,4.19,6.94,9.25,30.0,77.0,72.25
Osa Odighizuwa,EDGE,UCLA,282.0,,25.0,31.5,120.0,4.5,7.58,10.375,34.0,83.0,73.625
Adam Prentice,FB,South Carolina,251.0,4.83,21.0,35.5,116.0,4.58,7.22,9.125,32.0,78.0,71.5
Kyle Spalding,OT,San Diego State,299.0,5.4,18.0,25.5,101.0,4.88,7.9,9.625,33.0,80.0,78.5
Khyiris Tonga,IDL,BYU,325.0,5.1,35.0,28.0,105.0,4.73,7.83,9.625,31.0,79.0,74.125
Racey McMath,WR,LSU,211.0,4.39,,34.0,125.0,4.4,7.37,8.875,32.0,79.0,74.5
Javon McKinley,WR,Notre Dame,215.0,4.6,20.0,32.5,,4.4,7.05,9.75,33.0,79.0,73.75
Trae Meadows,CB,Western Kentucky,183.0,4.65,6.0,29.0,118.0,4.39,7.3,8.25,32.0,76.0,72.875
Cornell Powell,WR,Clemson,204.0,4.51,16.0,36.5,128.0,4.23,6.93,10.0,32.75,79.0,72.25
Rhamondre Stevenson,RB,Oklahoma,231.0,4.63,15.0,31.5,112.0,4.47,7.02,9.0,30.25,75.0,71.625
Tre' McKitty,TE,Georgia,247.0,,23.0,,,,,11.0,32.25,81.0,76.125
Kayode Awosika,OT,Buffalo,307.0,5.19,28.0,30.0,100.0,4.91,8.15,9.0,32.625,79.0,75.125
Brenden Jaimes,OT,Nebraska,298.0,,25.0,30.5,112.0,4.5,7.46,10.0,32.625,82.0,77.0
Rashad Byrd,LB,Georgia Southern,229.0,4.85,17.0,34.0,114.0,4.64,7.56,10.0,31.75,79.0,72.125
Zac Dawe,IDL,BYU,275.0,4.96,33.0,29.5,112.0,4.55,7.09,9.0,33.25,79.0,75.0
Quinn Nordin,K,Michigan,193.0,,,,,,,9.0,32.25,76.0,72.75
Baron Browning,LB,Ohio State,245.0,4.56,23.0,40.0,130.0,4.22,6.78,10.0,33.5,79.0,74.75
Brad Stewart Jr.,S,Florida,195.0,4.59,11.0,33.5,126.0,4.4,7.25,9.0,31.5,77.0,72.125
Jack Anderson,IOL,Texas Tech,314.0,5.27,27.0,29.5,105.0,4.83,7.88,10.0,31.875,78.0,76.625
Justin Hughes,LB,Kansas State,227.0,5.02,24.0,28.5,104.0,4.84,7.37,9.125,32.125,78.0,72.125
JR Pace,S,Northwestern,205.0,4.72,12.0,35.5,120.0,4.24,6.94,9.25,30.875,74.0,73.0
Ramaud Chiaokhiao-Bowman,WR,Northwestern,204.0,4.78,11.0,34.5,119.0,4.2,6.78,9.25,32.125,79.0,73.375
Quinn Meinerz,IOL,Wisconsin Whitewater,320.0,4.96,,32.0,111.0,4.58,7.54,10.125,33.375,82.0,74.875
Jackson Carman,OT,Clemson,317.0,,,,,,,9.625,32.5,87.0,76.875
EJ Muhammad,CB,Nevada,184.0,4.72,,31.0,116.0,4.4,7.35,9.25,32.5,76.0,70.375
Tarik Black,WR,Texas,213.0,4.53,15.0,40.0,132.0,4.26,6.91,9.75,33.75,79.0,74.75
Eric Stokes,CB,Georgia,194.0,4.3,14.0,38.5,128.0,4.36,6.96,9.125,32.75,78.0,72.625
Malik Herring,IDL,Georgia,283.0,,,,,,,10.5,32.5,82.0,75.25
Monty Rice,LB,Georgia,238.0,4.58,,32.0,121.0,4.33,7.34,8.625,30.375,75.0,72.25
Kendrick Green,IOL,Illinois,305.0,4.89,25.0,35.5,119.0,4.67,7.79,10.125,32.25,77.0,73.875
Rashad Weaver,EDGE,Pitt,259.0,4.88,20.0,32.0,114.0,4.26,6.97,9.75,33.5,82.0,76.375
Malcolm Koonce,EDGE,Buffalo,249.0,,,,,,,9.625,33.375,81.0,74.25
Camryn Bynum,CB,Cal,196.0,4.58,,34.0,129.0,4.1,6.99,9.625,30.75,76.0,72.25
Robert Rochell,CB,Central Arkansas,193.0,4.41,9.0,43.0,133.0,4.08,6.84,8.75,32.375,79.0,71.75
Adam Williams,P,Memphis,226.0,,,,,,,9.5,32.375,78.0,76.875
Damonte Coxie,WR,Memphis,198.0,4.77,4.0,30.5,122.0,4.45,6.92,8.75,33.25,81.0,74.125
Riley Cole,LB,South Alabama,240.0,4.72,26.0,32.5,120.0,4.35,7.46,9.5,30.125,75.0,74.75
Kawaan Baker,WR,South Alabama,210.0,4.44,21.0,39.5,129.0,4.41,7.42,10.5,32.5,77.0,72.5
George Silvanic,IDL,Air Force,286.0,5.21,,29.5,105.0,4.6,7.5,9.75,32.75,81.0,77.375
Joseph Carlson,P,Air Force,175.0,,,,,,,9.25,29.625,73.0,72.875
Alani Pututau,EDGE,Adams State,243.0,4.77,22.0,35.5,121.0,4.47,7.25,10.875,33.25,80.0,73.125
Larry Borom,IOL,Missouri,322.0,5.15,21.0,31.0,103.0,4.99,8.04,10.375,33.125,80.0,76.875
Joshuah Bledsoe,S,Missouri,204.0,,,,,,,9.625,30.75,74.0,71.375
JaQuan Hardy,RB,Tiffin,211.0,4.56,21.0,33.0,119.0,4.14,6.98,8.75,29.875,71.0,68.25
Najee Harris,RB,Alabama,230.0,,,,,,,10.25,33.375,81.0,73.0
Marquiss Spencer,IDL,Mississippi State,301.0,4.87,12.0,31.5,111.0,4.51,7.28,9.5,33.125,80.0,75.625
Marcus Murphy,S,Mississippi State,198.0,4.54,11.0,38.5,121.0,4.3,7.14,8.75,31.625,78.0,71.25
Alijah Vera-Tucker,IOL,USC,308.0,5.13,32.0,32.0,106.0,4.63,7.7,9.625,32.125,,76.5
Tyler Vaughns,WR,USC,184.0,4.69,7.0,31.5,120.0,4.4,7.15,9.5,32.875,79.0,74.0
Tony Poljan,TE,Virginia,251.0,4.89,23.0,33.5,113.0,4.5,7.34,9.375,33.5,79.0,78.75
Luke Logan,K,Mississippi,179.0,,,,,,,8.25,29.125,69.0,70.5
Jayson Oweh,EDGE,Penn State,257.0,4.36,21.0,39.5,134.0,4.21,6.9,9.25,34.5,82.0,76.875
Brandon Kennedy,IOL,Tennessee,286.0,5.32,22.0,25.0,100.0,4.92,8.36,9.25,31.875,78.0,74.0
Max Richardson,LB,Boston College,223.0,4.82,24.0,34.0,121.0,4.24,7.2,9.625,30.75,74.0,71.75
Hunter Long,TE,Boston College,254.0,4.71,,32.5,122.0,4.42,7.41,9.75,33.75,82.0,77.0
Brady Christensen,OT,BYU,302.0,4.89,30.0,34.0,124.0,4.52,7.33,10.25,32.25,80.0,77.25
Chandon Herring,OT,BYU,307.0,5.05,26.0,29.0,113.0,4.69,7.65,9.25,33.75,81.0,78.75
Zayne Anderson,S,BYU,206.0,4.44,11.0,34.0,120.0,4.2,6.78,9.75,31.25,76.0,73.875
Chris Evans,RB,Michigan,211.0,4.48,20.0,40.5,127.0,4.12,6.83,9.75,32.5,76.0,71.0
Nick Eubanks,TE,Michigan,245.0,4.69,19.0,34.0,120.0,4.53,7.32,9.75,33.25,79.0,76.5
Cade Johnson,WR,South Dakota State,184.0,4.49,11.0,35.0,114.0,,,9.5,29.25,71.0,70.625
Chris Rumph II,EDGE,Duke,235.0,,18.0,,,,,9.25,33.75,80.0,74.75
Quincy Roche,EDGE,Miami,245.0,4.69,23.0,32.5,119.0,4.5,7.2,9.25,32.25,79.0,74.625
Dyami Brown,WR,North Carolina,189.0,4.46,18.0,35.5,128.0,4.35,6.87,9.625,32.75,77.0,72.625
Trey Ragas,RB,UL Lafayette,218.0,4.63,23.0,33.5,117.0,4.5,7.15,8.875,29.75,73.0,70.125
Javian Hawkins,RB,Louisville,183.0,4.48,,36.0,116.0,4.23,6.98,7.875,29.25,72.0,68.125
Ean Pfeifer,TE,Louisville,250.0,4.92,21.0,29.5,99.0,4.42,7.46,9.25,32.875,80.0,75.5
Alim McNeill,IDL,North Carolina State,317.0,5.0,27.0,30.5,108.0,4.65,7.68,9.375,32.625,79.0,73.875
Shaun Wade,CB,Ohio State,196.0,,,,,,,9.25,33.5,78.0,72.625
Drue Chrisman,P,Ohio State,209.0,,,,,,,9.5,33.125,78.0,74.75
Trey Sermon,RB,Ohio State,215.0,4.61,,37.0,125.0,4.3,6.84,9.375,33.375,79.0,72.375
CJ Saunders,WR,Ohio State,179.0,4.7,8.0,34.5,113.0,4.15,7.1,9.625,31.25,73.0,69.75
Brett DioGuardi,LS,Florida,234.0,5.48,,24.5,98.0,4.95,7.88,9.125,31.25,78.0,75.0
Trevon Grimes,WR,Florida,220.0,4.5,15.0,35.0,118.0,4.26,7.0,9.625,31.375,77.0,76.0
Brandin Echols,CB,Kentucky,179.0,4.36,13.0,42.5,136.0,4.12,6.84,9.125,30.25,73.0,70.125
Adetokunbo Ogundeji,EDGE,Notre Dame,260.0,4.8,22.0,32.0,120.0,4.65,7.19,9.625,35.25,84.0,76.5
Tommy Kraemer,IOL,Notre Dame,309.0,,,,,,,10.625,33.5,81.0,77.5
Shaun Crawford,S,Notre Dame,182.0,4.55,12.0,35.0,116.0,4.13,6.7,8.875,30.25,72.0,69.125
Shemar Jean-Charles,CB,Appalachian State,184.0,4.52,19.0,35.0,124.0,4.33,7.15,8.75,30.875,76.0,70.375
Ryan Neuzil,IOL,Appalachian State,301.0,5.07,30.0,29.0,102.0,4.55,7.38,9.5,31.5,75.0,74.5
Tre Harbison,RB,Charlotte,218.0,4.62,16.0,33.5,117.0,4.5,7.18,9.625,32.375,75.0,70.75
Rodarius Williams,CB,Oklahoma State,189.0,4.53,14.0,36.5,123.0,4.15,6.98,9.125,31.5,75.0,71.75
Teven Jenkins,OT,Oklahoma State,317.0,5.03,36.0,32.5,106.0,4.68,7.72,9.5,33.5,81.0,77.875
Tylan Wallace,WR,Oklahoma State,194.0,4.52,11.0,33.0,112.0,4.25,6.97,9.375,30.375,72.0,71.375
Devon Wharton,EDGE,Western Kentucky,215.0,5.1,4.0,30.5,115.0,4.7,8.12,9.375,33.875,81.0,74.625
Austin Faoliu,IDL,Oregon,287.0,,,,,,,9.75,32.75,80.0,75.125
Zach Smith,QB,Tulsa,222.0,5.23,,29.5,111.0,4.52,7.26,9.375,32.375,78.0,75.375
Zech McPhearson,CB,Texas Tech,191.0,4.5,14.0,40.5,130.0,4.03,6.84,8.75,30.75,76.0,70.875
Donnie Corley,WR,Texas Southern,195.0,4.59,13.0,34.0,123.0,4.29,6.83,9.25,32.375,77.0,73.75
Wyatt Hubert,EDGE,Kansas State,265.0,4.93,,33.0,110.0,4.27,7.03,10.0,31.0,76.25,74.875
Josh Ball,OT,Marshall,308.0,5.19,28.0,27.5,106.0,4.67,7.75,10.0,35.0,81.625,79.375
Adrian Ealy,OT,Oklahoma,321.0,5.38,18.0,24.5,104.0,4.93,8.8,10.0,33.0,80.875,78.25
Tyson Campbell,CB,Georgia,193.0,4.38,12.0,34.5,124.0,4.45,7.15,9.0,32.0,75.5,73.0
Jamien Sherwood,S,Auburn,216.0,4.76,15.0,36.0,123.0,4.36,7.15,10.0,34.0,81.875,73.75
Tyler Coyle,S,Purdue,209.0,4.36,24.0,39.0,133.0,4.0,7.14,9.0,33.0,77.875,72.5
Anthony Butler,LB,Liberty,222.0,4.88,18.0,29.5,110.0,4.38,7.46,9.0,32.0,76.875,72.875
Chris Naggar,K,SMU,193.0,,,,,,,9.0,30.0,73.875,71.25
Kwity Paye,EDGE,Michigan,261.0,4.57,36.0,35.5,118.0,,,10.0,33.0,78.5,74.5
Divine Deablo,S,Virginia Tech,226.0,4.42,19.0,34.0,126.0,4.45,7.01,9.0,33.0,77.875,75.25
Bryan Mills,CB,North Carolina Central,174.0,4.6,2.0,37.0,124.0,4.31,7.2,9.0,32.0,77.125,73.125
Patrick Johnson,EDGE,Tulane,240.0,4.65,16.0,35.0,119.0,4.45,6.97,10.0,32.0,77.75,74.0
Chuba Hubbard,RB,Oklahoma State,210.0,4.5,20.0,36.0,120.0,4.3,7.28,9.0,32.0,75.75,72.0
Jordan Meredith,IOL,Western Kentucky,302.0,5.11,25.0,32.0,109.0,4.62,7.41,10.0,31.0,73.25,74.75
Elijah Sullivan,LB,Kansas State,214.0,4.69,13.0,,115.0,4.31,7.12,8.125,32.0,76.75,72.0
Briley Moore,TE,Kansas State,240.0,4.64,26.0,37.5,123.0,4.37,7.24,9.875,31.0,75.5,76.25
Paddy Fisher,LB,Northwestern,240.0,4.91,20.0,31.5,110.0,4.47,7.0,9.625,33.0,79.625,75.375
Blake Gallagher,LB,Northwestern,228.0,4.83,27.0,31.5,107.0,4.4,7.23,9.125,31.0,74.875,71.75
Rashawn Slater,OT,Northwestern,304.0,4.88,33.0,33.0,112.0,4.45,7.48,10.5,33.0,80.125,76.25
Ta'Quon Graham,IDL,Texas,292.0,4.93,32.0,32.5,113.0,4.68,7.31,10.625,35.0,82.125,75.125
Samuel Cosmi,OT,Texas,314.0,4.84,36.0,30.0,117.0,4.39,7.35,10.25,33.0,80.25,77.875
Forrest Merrill,IDL,Arkansas State,322.0,5.27,36.0,26.5,101.0,4.81,8.24,9.25,32.0,78.75,72.0
Seth Cottengim,LS,Arkansas State,230.0,,,28.5,,,,8.875,30.0,73.75,71.375
Sandon McCoy,FB,Army,215.0,4.78,18.0,32.0,114.0,4.56,7.47,9.125,32.0,75.75,70.25
David Moore,QB,Central Michigan,200.0,4.86,,29.5,114.0,4.75,7.62,9.375,33.0,76.25,72.625
Josh Blancato,WR,Georgia Tech,182.0,4.49,17.0,32.0,124.0,4.28,6.9,8.5,30.0,70.375,69.0
Kimere Brown,CB,Temple,175.0,4.56,,32.5,124.0,4.32,7.37,9.125,32.0,77.25,71.0
Daniel Archibong,IDL,Temple,295.0,5.33,28.0,28.5,100.0,4.68,8.16,10.75,32.0,79.5,77.25
Gary Brightwell,RB,Arizona,218.0,4.62,17.0,34.5,118.0,4.48,7.51,9.375,31.0,74.25,70.75
Ben Cleveland,IOL,Georgia,354.0,5.05,30.0,28.0,102.0,4.88,,9.75,33.0,79.125,78.375
Bailey Gaither,WR,San Jose State,188.0,4.45,9.0,31.0,121.0,4.39,7.07,9.25,31.0,72.375,72.0
Rico Bussey Jr.,WR,Hawaii,186.0,4.5,13.0,38.5,124.0,4.26,7.21,10.125,33.0,78.75,72.375
Tyree Thompson,LB,Buffalo,229.0,5.0,18.0,31.0,109.0,4.96,7.87,9.375,31.0,76.375,73.0
Antonio Nunn,WR,Buffalo,204.0,4.5,15.0,33.5,120.0,4.32,7.12,8.875,31.0,74.125,71.0
Jake Curhan,OT,Cal,316.0,5.45,15.0,24.0,102.0,4.84,8.07,10.25,33.0,83.5,77.875
Donavaughn Campbell,IOL,Louisiana Tech,336.0,5.62,,22.0,93.0,5.15,8.34,9.375,33.0,79.25,76.125
TJ Simmons,WR,West Virginia,208.0,4.59,13.0,32.0,120.0,4.55,7.22,9.375,32.0,75.5,73.375
O'Bryan Goodson,IDL,Memphis,276.0,,26.0,,,,,9.125,31.0,72.5,70.25
Mike Boykin,IDL,North Alabama,291.0,4.88,,32.0,110.0,4.58,,10.25,,80.75,77.375
Pro Wells,TE,TCU,249.0,4.84,17.0,28.5,114.0,4.59,7.16,9.375,33.0,78.625,75.375
Bryson Denley,RB,Bowling Green,189.0,4.56,13.0,27.5,110.0,4.57,7.25,8.875,31.0,74.25,67.875
Miller Forristall,TE,Alabama,241.0,4.8,20.0,35.0,118.0,4.48,7.03,10.25,33.0,79.875,76.75
JaQuan Bailey,EDGE,Iowa State,246.0,4.72,19.0,26.5,110.0,4.8,7.53,8.5,32.0,78.375,73.875
Landen Akers,WR,Iowa State,189.0,4.47,14.0,39.0,127.0,4.4,7.17,9.125,32.0,76.625,71.625
Dicaprio Bootle,CB,Nebraska,180.0,4.45,16.0,36.5,126.0,4.17,6.72,8.5,30.0,74.25,69.5
Dedrick Mills,RB,Nebraska,217.0,4.7,13.0,32.0,117.0,4.33,7.12,9.125,32.0,76.25,69.75
Lorenzo Neal,IDL,Purdue,318.0,5.59,27.0,25.5,101.0,4.88,8.03,10.125,32.0,78.25,74.375
Shakur Brown,CB,Michigan State,185.0,4.61,17.0,35.5,116.0,4.23,7.08,8.625,30.0,71.125,69.75
Naquan Jones,IDL,Michigan State,313.0,5.44,20.0,25.0,100.0,4.8,,9.875,33.0,80.125,75.375
Greg Eiland,OT,Mississippi State,321.0,5.77,8.0,26.5,97.0,,,10.875,37.0,88.125,79.875
Jaycee Horn,CB,South Carolina,205.0,4.39,19.0,41.5,133.0,,,9.125,33.0,77.25,72.75
Israel Mukuamu,CB,South Carolina,212.0,,13.0,36.5,119.0,,,9.375,34.0,80.75,76.125
Marlon Tuipulotu,IDL,USC,307.0,,29.0,30.5,103.0,4.69,7.69,10.375,33.0,80.625,73.875
Talanoa Hufanga,S,USC,199.0,4.64,12.0,35.5,128.0,4.39,6.96,9.875,32.0,77.25,72.375
Charles Snowden,LB,Virginia,243.0,,21.0,,,,,9.5,34.0,82.25,78.375
Zane Zandier,LB,Virginia,228.0,4.76,18.0,37.0,119.0,4.28,7.14,9.125,31.0,75.5,74.75
Shane Simpson,RB,Virginia,198.0,4.62,22.0,37.0,118.0,4.32,7.12,9.625,30.0,71.125,68.0
Shaka Toney,EDGE,Penn State,242.0,4.55,24.0,39.0,128.0,4.25,7.0,9.25,33.0,80.625,74.5
Brandon Stephens,CB,SMU,213.0,4.44,19.0,38.0,127.0,4.29,6.99,9.75,32.0,76.75,72.125
Tristen Hoge,IOL,BYU,306.0,5.22,29.0,26.0,105.0,4.85,7.9,10.75,33.0,80.375,76.75
Camaron Cheeseman,LS,Michigan,239.0,5.09,17.0,33.0,110.0,4.58,7.57,9.375,32.0,74.875,76.25
Jarrod Hewitt,IDL,Virginia Tech,290.0,5.02,,26.0,104.0,4.76,7.98,9.375,31.0,73.375,73.375
Rayshard Ashby,LB,Virginia Tech,232.0,4.93,24.0,31.5,114.0,4.32,7.17,8.375,31.0,71.875,70.25
Devery Hamilton,OT,Duke,311.0,5.27,21.0,33.5,112.0,4.89,7.81,10.125,33.0,81.75,78.625
Jose Borregales,K,Miami,206.0,,,,,,,9.5,29.0,73.375,70.0
Elijah Mitchell,RB,UL Lafayette,201.0,4.35,17.0,37.5,128.0,4.2,6.94,9.75,31.0,75.75,70.25
Leighton McCarthy,LB,Florida Atlantic,226.0,4.88,24.0,41.0,127.0,4.71,7.09,9.75,33.0,78.875,74.0
Isaiah Hayes,S,Louisville,194.0,4.71,17.0,35.0,121.0,4.37,7.25,8.625,32.0,76.5,70.625
Mac McCain III,CB,North Carolina A&T,186.0,4.48,13.0,35.5,123.0,4.2,7.09,9.25,31.0,75.375,71.0
Josh Myers,IOL,Ohio State,310.0,,29.0,,,,,10.375,32.0,77.375,77.25
Luke Farrell,TE,Ohio State,251.0,4.82,22.0,36.5,118.0,4.33,7.14,9.25,33.0,78.875,77.5
Corey Dauphine,RB,Tulane,198.0,4.71,14.0,30.0,117.0,4.53,7.4,8.375,31.0,74.75,71.125
Joe Tryon,EDGE,Washington,259.0,4.69,22.0,35.0,116.0,4.36,7.18,10.375,34.0,82.75,77.0
Levi Onwuzurike,IDL,Washington,290.0,4.89,29.0,30.0,109.0,,,10.125,33.0,79.25,74.875
Kevin Thomson,QB,Washington,198.0,4.75,21.0,35.5,126.0,4.23,6.98,9.75,32.0,76.25,72.5
Elijah Ponder,IDL,Cincinnati,258.0,5.07,27.0,30.0,101.0,4.53,7.46,9.375,31.0,75.125,73.625
James Hudson III,OT,Cincinnati,313.0,5.34,22.0,28.5,98.0,4.81,8.05,10.625,33.0,80.875,76.75
Gerrid Doaks,RB,Cincinnati,228.0,4.58,19.0,39.5,120.0,4.28,7.21,9.75,31.0,77.75,71.375
Darrick Forrest,S,Cincinnati,206.0,4.43,21.0,39.0,132.0,4.22,6.91,9.75,32.0,76.25,71.5
James Wiggins,S,Cincinnati,209.0,4.42,22.0,38.0,127.0,,,9.75,29.0,74.375,71.25
Evan McPherson,K,Florida,185.0,,,,,,,9.125,29.0,71.125,71.0
Kyle Trask,QB,Florida,236.0,5.08,,31.5,113.0,4.38,7.08,10.125,33.0,80.625,77.25
Quinton Bohanna,IDL,Kentucky,327.0,5.48,,29.0,99.0,5.15,8.21,10.875,34.0,80.875,76.0
Jamin Davis,LB,Kentucky,234.0,4.48,21.0,42.0,132.0,,,9.5,33.0,79.875,75.5
Jeremiah Owusu-Koramoah,LB,Notre Dame,221.0,,,36.5,124.0,4.15,,8.875,33.0,78.125,73.5
Rashod Bateman,WR,Minnesota,190.0,4.43,,36.0,123.0,4.35,6.95,9.5,33.0,76.5,72.375
Marlon Williams,WR,UCF,209.0,4.66,14.0,33.5,119.0,4.57,,8.875,31.0,73.5,71.25
Thomas Graham Jr.,CB,Oregon,192.0,4.49,13.0,34.5,121.0,4.21,7.08,8.875,31.0,74.625,70.375
Trevor Lawrence,QB,Clemson,213.0,,,,,,,10.0,31.5,78.25,77.625
Peyton Ramsey,QB,Northwestern,215.0,4.69,,28.0,108.0,4.41,7.28,9.0,31.75,74.5,73.875
Isaiahh Loudermilk,IDL,Wisconsin,274.0,4.95,21.0,28.5,112.0,4.4,7.52,10.0,32.625,81.25,78.375
Adam Krumholz,WR,Wisconsin,193.0,4.53,11.0,35.5,118.0,4.08,6.9,9.0,32.75,77.25,72.625
Brenden Knox,RB,Marshall,215.0,4.63,23.0,35.0,112.0,4.39,7.19,10.0,31.25,74.375,70.75
Jake Funk,RB,Maryland,205.0,4.43,22.0,38.0,122.0,4.12,6.71,9.0,30.25,72.5,70.25
Brennan Eagles,WR,Texas,225.0,4.55,,36.0,125.0,4.42,6.93,10.0,33.5,79.75,75.625
Ronnie Perkins,EDGE,Oklahoma,253.0,4.71,25.0,32.0,115.0,4.69,,9.0,32.875,79.375,74.5
Jaytlin Askew,CB,Georgia Tech,180.0,4.5,18.0,35.5,125.0,4.27,7.1,8.0,28.75,70.125,68.875
Trajan Stephens-McQueen,LB,Georgia State,224.0,5.11,14.0,28.5,108.0,4.77,7.59,10.0,32.75,77.375,71.875
Richard LeCounte III,S,Georgia,196.0,4.79,,32.5,128.0,4.49,7.44,9.0,31.625,77.5,70.5
Patrick Jones II,EDGE,Pitt,261.0,4.8,22.0,31.5,107.0,,,10.0,32.875,79.125,76.25
Jaylen Twyman,IDL,Pitt,301.0,5.39,40.0,32.5,104.0,,8.0,10.0,32.125,78.5,73.75
Jimmy Morrissey,IOL,Pitt,303.0,5.3,26.0,31.0,105.0,4.46,7.39,10.0,32.125,78.625,75.25
Zeandae Johnson,IDL,Cal,270.0,4.89,22.0,27.5,108.0,,,10.0,33.125,80.25,75.125
Paulson Adebo,CB,Stanford,198.0,4.45,18.0,36.5,121.0,4.13,6.69,10.0,31.5,76.875,73.0
Curtis Robinson,LB,Stanford,236.0,4.6,22.0,37.5,117.0,4.26,7.0,10.0,31.625,77.5,75.125
Mike Strachan,WR,Charleston,226.0,4.54,20.0,35.0,127.0,4.36,6.96,10.0,34.25,82.25,77.375
Tony Fields II,LB,West Virginia,222.0,4.64,17.0,34.0,114.0,4.48,7.15,9.0,31.25,76.5,72.25
Brett Kitrell,IOL,Ohio,290.0,5.32,29.0,28.0,104.0,4.82,7.85,10.0,31.875,77.5,75.5
Jacob Shoemaker,IOL,South Alabama,319.0,5.49,20.0,24.0,93.0,5.02,8.2,10.0,31.875,78.125,75.125
Trill Williams,CB,Syracuse,208.0,4.59,20.0,36.0,123.0,4.27,7.17,9.0,31.125,74.625,72.375
Will Sherman,OT,Colorado,304.0,5.19,23.0,26.0,108.0,4.82,7.71,10.0,33.5,81.625,75.25
Patrick Surtain II,CB,Alabama,208.0,4.42,18.0,39.0,131.0,,,10.0,32.5,78.5,74.0
Christian Barmore,IDL,Alabama,310.0,4.98,,,,4.75,7.81,10.0,34.625,81.375,76.125
