player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Teton Saltes,OT,New Mexico,300.0,5.04,22.0,30.5,105.0,4.64,7.76,9.5,32.875,76.75,76.625
Tyson Dyer,P,New Mexico,213.0,,,,,,,9.25,30.75,75.75,73.375
Joseph Ossai,EDGE,Texas,256.0,4.65,19.0,41.5,131.0,,,9.375,33.875,80.625,75.75
Sam Ehlinger,QB,Texas,220.0,4.84,,36.5,114.0,4.44,7.15,9.75,30.375,75.125,73.125
Caden Sterns,S,Texas,202.0,4.4,14.0,42.0,128.0,4.16,6.96,9.5,32.125,77.25,71.875
Chris Brown,S,Texas,191.0,4.53,15.0,36.0,118.0,4.2,6.85,8.75,32.375,75.25,70.0
Tre Brown,CB,Oklahoma,185.0,4.4,13.0,38.0,123.0,4.27,7.08,9.5,30.375,75.5,69.75
Tre Norwood,CB,Oklahoma,192.0,4.58,12.0,33.5,123.0,4.5,7.68,9.375,29.375,72.25,71.625
Creed Humphrey,IOL,Oklahoma,302.0,5.09,29.0,33.0,112.0,4.46,7.54,9.625,32.5,79.5,76.25
Trey Lance,QB,North Dakota State,224.0,,,,,,,9.125,31.5,76.75,75.875
Dillon Radunz,OT,North Dakota State,301.0,5.11,24.0,32.0,112.0,4.53,7.27,9.125,33.25,80.25,77.75
Jamal Jones,RB,Arkansas State,198.0,4.67,23.0,28.0,112.0,4.65,7.39,8.625,29.5,70.875,66.125
Giles Amos,TE,Arkansas State,250.0,5.14,,28.5,111.0,5.13,7.65,10.125,32.875,77.375,75.75
Jonathan Adams Jr.,WR,Arkansas State,210.0,4.59,,39.0,132.0,4.38,7.04,9.875,32.125,79.5,74.0
Brendon White,S,Rutgers,215.0,4.66,19.0,34.5,112.0,4.33,6.82,8.75,31.875,75.125,73.375
Jon Rhattigan,LB,Army,236.0,4.77,22.0,32.0,111.0,4.3,7.41,10.5,31.625,75.75,72.375
Artice Hobbs IV,RB,Army,184.0,4.67,11.0,30.5,112.0,4.52,7.08,8.875,28.125,68.625,67.5
Isaiah McKoy,WR,Kent State,200.0,4.58,12.0,29.5,114.0,4.36,7.09,9.125,31.625,73.5,74.0
Lawrence Woods,CB,Truman State,182.0,4.52,13.0,37.5,124.0,4.28,7.08,9.375,31.25,72.875,69.5
Dayo Odeyingbo,EDGE,Vanderbilt,276.0,,,,,,,10.125,35.25,86.375,77.125
Andre Mintze,EDGE,Vanderbilt,253.0,4.59,18.0,,119.0,,,9.875,32.75,78.5,74.625
David Curry,LB,Georgia Tech,227.0,,,,,,,9.75,30.25,74.125,73.0
Pressley Harvin III,P,Georgia Tech,263.0,,14.0,,,,,9.375,32.125,77.75,71.125
Jalen Camp,WR,Georgia Tech,226.0,4.43,29.0,39.5,125.0,4.16,7.02,9.625,33.75,78.375,73.875
Landon Rice,TE,Jacksonville State,247.0,4.82,22.0,29.5,117.0,4.56,7.33,9.5,31.875,76.875,77.125
Branden Mack,WR,Temple,217.0,4.64,11.0,31.0,115.0,4.37,7.13,9.25,32.125,78.375,77.0
Lorenzo Burns,CB,Arizona,183.0,4.56,14.0,33.5,123.0,4.51,7.55,8.625,30.25,72.75,70.375
Mark Webb,CB,Georgia,210.0,4.59,,36.5,136.0,4.52,7.3,10.125,32.125,79.125,73.375
Azeez Ojulari,EDGE,Georgia,249.0,4.62,26.0,30.0,127.0,4.34,7.27,10.5,34.375,82.5,74.25
Trey Hill,IOL,Georgia,319.0,5.46,17.0,,,4.95,8.29,9.375,33.625,80.375,75.5
David Moore,IOL,Grambling State,336.0,5.14,31.0,27.5,105.0,4.87,8.01,9.125,34.125,81.625,73.625
Nate Hobbs,CB,Illinois,196.0,4.48,17.0,40.5,135.0,4.17,6.85,9.5,31.5,76.5,71.375
Milo Eifler,LB,Illinois,228.0,4.58,14.0,37.5,126.0,4.35,7.15,8.5,32.75,79.25,74.125
Josh Imatorbhebhe,WR,Illinois,218.0,4.53,24.0,46.5,134.0,4.38,7.1,9.25,32.375,79.375,72.875
Christian Uphoff,S,Illinois State,209.0,4.59,17.0,33.0,120.0,4.41,7.06,9.875,30.125,74.75,74.0
Jason Pinnock,CB,Pitt,204.0,4.49,15.0,39.5,128.0,4.1,6.9,9.25,32.375,79.25,72.5
Bryce Hargrove,IOL,Pitt,310.0,5.46,26.0,27.0,97.0,5.03,8.06,9.875,32.5,77.75,75.875
Alex Kessman,K,Pitt,189.0,,,,,,,9.25,31.5,73.875,74.25
Paris Ford,S,Pitt,197.0,4.85,,28.5,110.0,4.45,7.44,9.5,32.375,76.5,72.625
Damar Hamlin,S,Pitt,200.0,4.59,18.0,35.0,118.0,4.4,6.93,8.875,32.25,76.5,72.875
DJ Turner,WR,Pitt,206.0,4.59,23.0,35.5,121.0,4.16,6.92,8.25,28.5,69.25,69.0
Tre Walker,WR,San Jose State,178.0,4.58,,28.0,113.0,4.47,7.75,9.375,30.625,73.625,70.875
Christian Tutt,CB,Auburn,180.0,4.73,,29.5,110.0,4.25,7.22,9.625,30.25,73.25,70.25
Jordyn Peters,S,Auburn,202.0,4.7,7.0,39.5,124.0,4.47,7.14,9.375,32.75,79.625,72.75
Anthony Schwartz,WR,Auburn,186.0,4.27,,32.0,123.0,4.25,7.13,9.375,31.5,75.5,72.0
Eli Stove,WR,Auburn,194.0,4.54,14.0,30.5,119.0,4.4,7.34,9.125,32.125,75.375,71.375
Seth Williams,WR,Auburn,211.0,4.49,12.0,37.0,124.0,4.43,7.2,9.875,33.5,81.125,75.0
KJ Stepherson,WR,Jacksonville State,188.0,4.66,7.0,38.5,127.0,4.22,6.99,8.875,31.75,77.25,72.0
Khalil McClain,WR,Troy,214.0,4.7,15.0,32.0,114.0,4.5,7.72,9.625,31.875,76.125,74.875
Ray Thomas-Ishman,IOL,Buffalo,313.0,5.54,23.0,23.0,97.0,5.14,8.27,9.625,32.125,77.625,75.5
Jaret Patterson,RB,Buffalo,195.0,4.59,19.0,30.0,117.0,4.35,7.03,9.25,28.75,68.75,66.5
Milton Williams,IDL,Louisiana Tech,284.0,4.67,34.0,38.5,121.0,4.33,6.96,9.75,31.5,78.5,75.0
Justin Henderson,RB,Louisiana Tech,220.0,4.65,26.0,32.0,118.0,4.59,7.22,9.25,30.875,72.625,67.75
Israel Tucker,RB,Louisiana Tech,194.0,4.6,20.0,38.5,123.0,4.52,7.25,9.125,30.875,72.5,67.75
Thomas Schaffer,IDL,Stanford,302.0,,23.0,,,,,9.25,32.625,79.25,78.75
Drew Dalman,IOL,Stanford,299.0,5.12,33.0,33.0,109.0,4.52,7.33,10.5,31.5,76.5,75.375
Jet Toner,K,Stanford,204.0,,,,,,,8.375,30.125,73.75,74.5
Foster Sarell,OT,Stanford,318.0,5.54,26.0,27.0,97.0,4.69,7.63,9.75,33.375,80.25,78.5
Walker Little,OT,Stanford,313.0,5.3,24.0,29.5,111.0,4.59,7.44,10.125,33.75,81.75,79.375
Davis Mills,QB,Stanford,217.0,4.82,,32.0,110.0,4.4,6.95,9.5,31.375,77.75,75.75
Scooter Harrington,TE,Stanford,250.0,5.19,,29.0,105.0,4.53,7.2,10.125,34.75,82.5,76.75
Simi Fehoko,WR,Stanford,222.0,4.44,16.0,34.5,120.0,4.26,6.78,10.25,31.625,76.875,75.875
Connor Wedington,WR,Stanford,196.0,4.47,13.0,38.5,117.0,4.07,6.66,9.75,31.875,76.5,72.5
Corey Straughter,CB,UL Monroe,184.0,4.62,11.0,35.0,117.0,4.58,7.37,9.125,30.375,72.375,70.25
Tyler Johnson,IOL,UL Monroe,295.0,5.64,18.0,23.0,102.0,4.92,8.12,9.375,33.125,79.375,75.25
